"You will be redirected to the Liqpay website.","Вы будете перенаправлены на сайт Liqpay."
"Pay","Оплатить"
"Payment id","ID платежа"
"Version","Версия"
"Paytype","Тип оплаты"
"Public key","Публичный ключ"
"Order id","Номер заказа"
"Liqpay order id","Номер заказа Liqpay"
"Sender phone","Телефон плательщика"
"Sender card bank","Банк платежной карты плательщика"
"Sender card type","Тип платежной карты плательщика"
"Sender card country","Страна платежной карты плательщика"
"Ip","IP-адрес"
"Sender commission","Комиссия плательщика"
"Receiver commission","Комиссия получателя"
"Is 3ds","3DS-проверка"
"Create date","Дата создания"
"End date","Дата окончания"
"Transaction id","ID Транзакции"
"Acq id","Тип еквайринга"
"Sandbox","Тестовый платеж"
